rowid,fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,payee_name_clean,payee_zip5,payee_name_refined,slug
259,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PowerSchool Group LLC,95630,1196479.87,NA,NA,POWERSCHOOL GROUP LLC,95630,POWER SCHOOL GROUP LLC,anne-arundel-county
260,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,FAY'S BUS SERVICE INC,21122,1162289.61,NA,NA,FAY'S BUS SERVICE INC,21122,FAY'S BUS SERVICE INC,anne-arundel-county
261,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TUCKMAN-BARBEE CONSTRUCTION,20774,1128830.5,NA,NA,TUCKMAN-BARBEE CONSTRUCTION,20774,TUCKMAN-BARBEE CONSTRUCTION,anne-arundel-county
262,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,OAK CONTRACTING L.L.C.,21286,1106127.89,NA,NA,OAK CONTRACTING LL.C.,21286,OAK CONTRACTING LLC,anne-arundel-county
263,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NORTH COUNTY BUS CO INC,21060,1083262.84,NA,NA,NORTH COUNTY BUS CO INC,21060,NORTH COUNTY BUS CO INC,anne-arundel-county
264,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Constellation NewEnergy-Gas,60132-2059,1080671.66,NA,NA,CONSTELLATION NEWENERGY-GAS,60132,CONSTELLATION NEW ENERGY,anne-arundel-county
265,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,IRONSHORE CONTRACTING LLC,21090,1046253.85,NA,NA,IRONSHORE CONTRACTING LLC,21090,IRONSHORE CONTRACTING,anne-arundel-county
266,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,C. MUHL BUS SERVICE INC,21123,1037308.56,NA,NA,C MUHL BUS SERVICE INC,21123,C MUHL BUS SERVICE INC,anne-arundel-county
267,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,KINSLEY CONSTRUCTION INC,17405,1027322.98,NA,NA,KINSLEY CONSTRUCTION INC,17405,KINSLEY CONSTRUCTION INC,anne-arundel-county
268,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,11400 INC,17601,1027259.27,NA,NA,11400 INC,17601,11400 INC,anne-arundel-county
269,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,THE PATHWAYS SCHOOL,20902,1020244.68,NA,NA,THE PATHWAYS SCHOOL,20902,THE PATHWAYS SCHOOLS,anne-arundel-county
270,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"W.B. MASON CO., INC.",21046,985883.24,NA,NA,WB. MASON CO. INC,21046,WB MASON CO INC,anne-arundel-county
271,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HORD COPLAN MACHT,21202,971983.6,NA,NA,HORD COPLAN MACHT,21202,HORD COPLAN MACHT,anne-arundel-county
272,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,American Truck & Bus Inc.,21401-7074,940604.52,NA,NA,AMERICAN TRUCK & BUS INC,21401,AMERICAN TRUCK & BUS INC,anne-arundel-county
273,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ARROW CENTER,77365,928235.25,NA,NA,ARROW CENTER,77365,ARROW CENTER,anne-arundel-county
274,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AUTUMN CONTRACTING INC,22151,907834.96,NA,NA,AUTUMN CONTRACTING INC,22151,AUTUMN CONTRACTING INC,anne-arundel-county
275,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LEE'S ELECTRICAL CONTRACTING,21221,876804.8,NA,NA,LEE'S ELECTRICAL CONTRACTING,21221,LEE'S ELECTRICAL CONTRACTING,anne-arundel-county
276,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AUDIO VISUAL INNOVATIONS INC,21045,814174.21,NA,NA,AUDIO VISUAL INNOVATIONS INC,21045,AUDIO VISUAL INNOVATIONS INC,anne-arundel-county
277,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NICHOLAS P PIPINO & ASSOCIATE,20794,796677.98,NA,NA,NICHOLAS P PIPINO & ASSOCIATE,20794,NICHOLAS P PIPINO & ASSOC,anne-arundel-county
278,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Houghton Mifflin/Harcourt,32819,778314.43,NA,NA,HOUGHTON MIFFLIN/HARCOURT,32819,HOUGHTON MIFFLIN HARCOURT PUBLISHING CO,anne-arundel-county
279,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BELL TECHLOGIX,23294,776293.07,NA,NA,BELL TECHLOGIX,23294,BELL TECH LOGIX,anne-arundel-county
280,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,IMAGE ASPHALT MAINTENANCE INC,21122,763652.57,NA,NA,IMAGE ASPHALT MAINTENANCE INC,21122,IMAGE ASPHALT MAINTENANCE INC,anne-arundel-county
281,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,L & R ENTERPRISES Inc.,20781,758273.32,NA,NA,L & R ENTERPRISES INC,20781,L&R ENTERPRISES INC,anne-arundel-county
282,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Culinary Ventures Maryland,20736,756980.58,NA,NA,CULINARY VENTURES MARYLAND,20736,CULINARY VENTURES MARYLAND,anne-arundel-county
283,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TCA ARCHITECTS,21032,750698.6,NA,NA,TCA ARCHITECTS,21032,TCA ARCHITECTS,anne-arundel-county
284,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CLYDE MCHENRY INC,20781,737757.49,NA,NA,CLYDE MCHENRY INC,20781,CLYDE MCHENRY INC,anne-arundel-county
285,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,JAMES POSEY ASSOCIATES INC,21117,719468.97,NA,NA,JAMES POSEY ASSOCIATES INC,21117,JAMES POSEY ASSOCIATES INC,anne-arundel-county
286,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MANSFIELD OIL COMPANY,30501,701857.95,NA,NA,MANSFIELD OIL COMPANY,30501,MANSFIELD OIL COMPANY,anne-arundel-county
287,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RELIABLE CONTRACTING CO INC,21054,693613.89,NA,NA,RELIABLE CONTRACTING CO INC,21054,RELIABLE CONTRACTING CO INC,anne-arundel-county
288,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CHIMES INC,21215,684271.27,NA,NA,CHIMES INC,21215,CHIMES INC,anne-arundel-county
289,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,J&K CONTRACTING,20772,679640.5,NA,NA,J&K CONTRACTING,20772,J&K CONTRACTING,anne-arundel-county
290,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WATER & SEWAGE SERVICE,21404,669721.99,NA,NA,WATER & SEWAGE SERVICE,21404,WATER & SEWAGE SERVICE,anne-arundel-county
291,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SF&C INSURANCE ASSOCIATES INC,21204,660302.54,NA,NA,SF&C INSURANCE ASSOCIATES INC,21204,SF & C INSURANCE ASSOCIATES,anne-arundel-county
292,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LINDSAY FORD,20902,620200,NA,NA,LINDSAY FORD,20902,LINDSAY FORD,anne-arundel-county
293,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GWWO,21211,613053.71,NA,NA,GWWO,21211,GWWO,anne-arundel-county
294,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SYSTCOM INC,21226,613031,NA,NA,SYSTCOM INC,21226,SYSTCOM INC,anne-arundel-county
295,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,INTERIOR SPECIALISTS INC,21162,608395.87,NA,NA,INTERIOR SPECIALISTS INC,21162,INTERIOR SPECIALISTS,anne-arundel-county
296,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DAKTRONICS INC,57006-5128,595160.5,NA,NA,DAKTRONICS INC,57006,DAKTRONICS INC,anne-arundel-county
297,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"PERFORMANCE MATTERS, LLC",78746,594825,NA,NA,PERFORMANCE MATTERS LLC,78746,PERFORMANCE MATTERS LLC,anne-arundel-county
298,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HCGI HARTFORD,21044,593140.32,NA,NA,HCGI HARTFORD,21044,HCGI HARTFORD,anne-arundel-county
299,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,REGIONAL INSTITUTE FOR,21229,591022,NA,NA,REGIONAL INSTITUTE FOR,21229,REGIONAL INSTITUTE FOR CHILDREN & ADOLESCENTS,anne-arundel-county
300,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Baltimore Lab School Inc,21218,572960.64,NA,NA,BALTIMORE LAB SCHOOL INC,21218,BALTIMORE LAB SCHOOL,anne-arundel-county
301,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MD CHILD SUPPORT,21297-1396,567924.53,NA,NA,MD CHILD SUPPORT,21297,MD CHILD SUPPORT ACCOUNT,anne-arundel-county
302,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Veritiv Operating Co,20794,566959.61,NA,NA,VERITIV OPERATING CO,20794,VERITIV OPERATING CO,anne-arundel-county
303,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,INDEPENDENT HARDWARE INC,19106,548982.69,NA,NA,INDEPENDENT HARDWARE INC,19106,INDEPENDENT HARDWARE INC,anne-arundel-county
304,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,KONE INC,21090,546607.94,NA,NA,KONE INC,21090,KONE INC,anne-arundel-county
305,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ASSOCIATED CABS INC,60693-0322,536271.22,NA,NA,ASSOCIATED CABS INC,60693,ASSOCIATED CABS INC,anne-arundel-county
306,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,EMH ENVIRONMENTAL INC,21738,532067,NA,NA,EMH ENVIRONMENTAL INC,21738,EMH ENVIRONMENTAL INC,anne-arundel-county
307,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,INTERNATIONAL BACCALAUREATE,10115,531313,NA,NA,INTERNATIONAL BACCALAUREATE,10115,INTERNATIONAL BACCALAUREATE,anne-arundel-county
308,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,E PIKOUNIS CONSTRUCTION CO INC,21231,529867.94,NA,NA,E PIKOUNIS CONSTRUCTION CO INC,21231,E PIKOUNIS CONSTRUCTION CO,anne-arundel-county
309,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Myco Mechanical, Inc.",18969,518130,NA,NA,MYCO MECHANICAL INC,18969,MYCO MECHANICAL INC,anne-arundel-county
310,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Game Time,28224,516162.66,NA,NA,GAME TIME,28224,GAMETIME,anne-arundel-county
311,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NASTOS CONSTRUCTION,20019,509721.87,NA,NA,NASTOS CONSTRUCTION,20019,NASTOS CONSTRUCTION INC,anne-arundel-county
312,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LORENZ LAWN AND LANDSCAPE INC,21208,504863,NA,NA,LORENZ LAWN AND LANDSCAPE INC,21208,LORENZ LAWN AND LANDSCAPE INC,anne-arundel-county
313,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MARYLAND ENVIRONMENTAL SERVICE,21108,498611.92,NA,NA,MARYLAND ENVIRONMENTAL SERVICE,21108,MARYLAND ENVIRONMENTAL SERVICE,anne-arundel-county
314,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,JNA PAINTING CO INC,21224,497409.08,NA,NA,JNA PAINTING CO INC,21224,JNA PAINTING & CONTRACTING CO,anne-arundel-county
315,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GL GROUP INC,63110,496472.97,NA,NA,GL GROUP INC,63110,GL GROUP INC,anne-arundel-county
316,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Rutherford Supply Corporation,20794,496062.16,NA,NA,RUTHERFORD SUPPLY CORPORATION,20794,RUTHERFORD SUPPLY CORP,anne-arundel-county
317,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BALTIMORE COUNTY PUBLIC SCHOOL,21204,491080.98,NA,NA,BALTIMORE COUNTY PUBLIC SCHOOL,21204,BALTIMORE COUNTY PUBLIC SCHOOLS,anne-arundel-county
318,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HORACE MANN INSURANCE CO,62715,485935.37,NA,NA,HORACE MANN INSURANCE CO,62715,HORACE MANN INSURANCE CO,anne-arundel-county
319,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Comcast Business Communications,21236,471332.77,NA,NA,COMCAST BUSINESS COMMUNICATIONS,21236,COMCAST BUSINESS COMMUNICATIONS,anne-arundel-county
320,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WHEELER GOODMAN MASEK,21401,466540.3,NA,NA,WHEELER GOODMAN MASEK,21401,WHEELER GOODMAN MASEK & ASSOCIATES INC,anne-arundel-county
321,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CURRICULUM ASSOCIATES LLC,01862-0901,456687.77,NA,NA,CURRICULUM ASSOCIATES LLC,01862,CURRICULUM ASSOCIATES,anne-arundel-county
322,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,S FREEDMAN & SONS INC,20785,450244.21,NA,NA,S FREEDMAN & SONS INC,20785,S FREEDMAN & SONS INC,anne-arundel-county
323,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BENELOGIC LLC,21093,449990,NA,NA,BENELOGIC LLC,21093,BENELOGIC LLC,anne-arundel-county
324,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BARCO ENTERPRISES INC,21164-0074,443691.59,NA,NA,BARCO ENTERPRISES INC,21164,BARCO ENTERPRISES INC,anne-arundel-county
325,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VSC FIRE & SECURITY INC,20794,442260.21,NA,NA,VSC FIRE & SECURITY INC,20794,VSC FIRE & SECURITY INC,anne-arundel-county
326,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TITO CONTRACTORS INC,20012,441647.06,NA,NA,TITO CONTRACTORS INC,20012,TITO CONTRACTORS,anne-arundel-county
327,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,FIRE-MAK INC,21784-0361,439148.59,NA,NA,FIRE-MAK INC,21784,FIRE-MAK INC,anne-arundel-county
328,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,OFFICE DEPOT,21046,430741.73,NA,NA,OFFICE DEPOT,21046,OFFICE DEPOT,anne-arundel-county
329,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MOTOROLA SOLUTIONS INC,21090,426892.13,NA,NA,MOTOROLA SOLUTIONS INC,21090,MOTOROLA SOLUTIONS INC,anne-arundel-county
330,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PEARSON EDUCATION,85246,426121.64,NA,NA,PEARSON EDUCATION,85246,PEARSON EDUCATION,anne-arundel-county
331,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Outdoor Aluminum Inc,36340,424900,NA,NA,OUTDOOR ALUMINUM INC,36340,OUTDOOR ALUMINUM INC,anne-arundel-county
332,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Carney, Kelehan, Bresler, Bennett & Scherr LLP",21401,422724.53,NA,NA,"CARNEY KELEHAN, BRESLER, BENNETT & SCHERR LLP",21401,CARNEY KELEHAN BRESLER BENNETT & SCHERR ATTORNEYS AT LAW,anne-arundel-county
333,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Modular Genius Inc,21085,415033.71,NA,NA,MODULAR GENIUS INC,21085,MODULAR GENIUS INC,anne-arundel-county
334,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ALLIANCE TECHNOLOGY GROUP LLC,21076,409234.01,NA,NA,ALLIANCE TECHNOLOGY GROUP LLC,21076,ALLIANCE TECHNOLOGY GROUP,anne-arundel-county
335,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ENGINEERED CONSTRUCTION PRODUCT,21703,407264.99,NA,NA,ENGINEERED CONSTRUCTION PRODUCT,21703,ENGINEERED CONSTRUCTION PRODUCTS LTD,anne-arundel-county
336,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TJ DISTRIBUTORS  INC,21050-2560,402035.65,NA,NA,TJ DISTRIBUTORS INC,21050,TJ DISTRIBUTORS INC,anne-arundel-county
337,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,FPC Distribution,21075,401214.54,NA,NA,FPC DISTRIBUTION,21075,FPC DISTRIBUTION,anne-arundel-county
338,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Window Consultants Inc.,21117,398971.5,NA,NA,WINDOW CONSULTANTS INC,21117,WINDOW CONSULTANTS,anne-arundel-county
339,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HILLIS-CARNES ENGINEERING,20701,393527,NA,NA,HILLIS-CARNES ENGINEERING,20701,HILLIS-CARNES ENGINEERING,anne-arundel-county
340,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"hand2mind, Inc.",60061-1862,393252.48,NA,NA,HAND2MIND INC,60061,HAND2MIND INC,anne-arundel-county
341,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SCHOOL SPECIALTY,54912-1579,386397.99,NA,NA,SCHOOL SPECIALTY,54912,SCHOOL SPECIALTY INC,anne-arundel-county
342,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Century Ford of Mt. Airy Inc,21771,385360,NA,NA,CENTURY FORD OF MT AIRY INC,21771,CENTURY FORD OF MT AIRY,anne-arundel-county
343,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,COLE ROOFING CO INC,21229,378968.89,NA,NA,COLE ROOFING CO INC,21229,COLE ROOFING CO INC,anne-arundel-county
344,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HEER BROTHERS INC,21226,378311.71,NA,NA,HEER BROTHERS INC,21226,HEER BROTHERS INC,anne-arundel-county
345,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"GALE ASSOCIATES, INC.",21204,375737.65,NA,NA,GALE ASSOCIATES INC,21204,GALE ASSOCIATES INC,anne-arundel-county
346,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Greenwood Publishing DBA Heinemann,03802-6926,365011.71,NA,NA,GREENWOOD PUBLISHING DBA HEINEMANN,03802,GREENWOOD PUBLISHING GROUP,anne-arundel-county
347,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"ASHLAND EQUIPMENT, INC.",21017-1205,357214.72,NA,NA,ASHLAND EQUIPMENT INC,21017,ASHLAND EQUIPMENT INC,anne-arundel-county
348,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Republic Services, Inc.",21230,352483.97,NA,NA,REPUBLIC SERVICES INC,21230,REPUBLIC SERVICES INC,anne-arundel-county
349,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GOUCHER COLLEGE,21204,351372,NA,NA,GOUCHER COLLEGE,21204,GOUCHER COLLEGE,anne-arundel-county
350,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Fresh Air Concepts, LLC",21090,347429.26,NA,NA,FRESH AIR CONCEPTS LLC,21090,FRESH AIR CONCEPTS LLC,anne-arundel-county
351,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN,21660,345655.55,NA,NA,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN,21660,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN,anne-arundel-county
352,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PETROLEUM MANAGEMENT INC,21226,344822.6,NA,NA,PETROLEUM MANAGEMENT INC,21226,PETROLEUM MANAGEMENT INC,anne-arundel-county
353,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"GRANDSTAND DESIGN ENTERPRISES, INC.",21401,334780,NA,NA,GRANDSTAND DESIGN ENTERPRISES INC,21401,GRANDSTAND DESIGN ENTERPRISES INC,anne-arundel-county
354,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LINDEN COOKIES INC,10920,331196.06,NA,NA,LINDEN COOKIES INC,10920,LINDEN COOKIES INC,anne-arundel-county
355,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WENGER CORPORATION,55060,329786,NA,NA,WENGER CORPORATION,55060,WENGER CORPORATION,anne-arundel-county
356,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CDI COMPUTER DEALERS INC,21224,321429.97,NA,NA,CDI COMPUTER DEALERS INC,21224,CDI COMPUTER DEALERS INC,anne-arundel-county
357,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BEST FENCE,21061,319489.13,NA,NA,BEST FENCE,21061,BEST FENCE,anne-arundel-county
358,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"MARYLAND SOUND & IMAGE, INC.",21133,318752.63,NA,NA,MARYLAND SOUND & IMAGE INC,21133,MARYLAND SOUND & IMAGE INC,anne-arundel-county
359,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AON CONSULTING INC,20036,317986.94,NA,NA,AON CONSULTING INC,20036,AON CONSULTING INC,anne-arundel-county
360,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"LearnZillion, Inc.",20016,317753,NA,NA,LEARNZILLION INC,20016,LEARN ZILLION INC,anne-arundel-county
361,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Air Tech Refrigeration & Mechanical Contractors, Inc.",21220,317327.3,NA,NA,AIR TECH REFRIGERATION & MECHANICAL CONTRACTORS INC,21220,AIR TECH REFRIGERATION & MECHANICAL CONTRACTORS INC,anne-arundel-county
362,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SAAAAC,21401,312945.56,NA,NA,SAAAAC,21401,SAAAAC,anne-arundel-county
363,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,APPLE COMPUTER INC,78727,305104,NA,NA,APPLE COMPUTER INC,78727,APPLE INC,anne-arundel-county
364,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CLARK FOOD SERVICE EQUIPMENT,17602,300992.12,NA,NA,CLARK FOOD SERVICE EQUIPMENT,17602,CLARK FOOD SERVICE EQUIPMENT,anne-arundel-county
365,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,A A CO ACCOUNTING AND CONTROL,21404,300189.44,NA,NA,A A CO ACCOUNTING AND CONTROL,21404,A A CO ACCOUNTING AND CONTROL,anne-arundel-county
366,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VERIZON WIRELESS,20701-1261,295966.72,NA,NA,VERIZON WIRELESS,20701,VERIZON WIRELESS,anne-arundel-county
367,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Ernest Corry III DBA SOURCE MAINTENANCE PRODUCTS,20754,294665.07,NA,NA,ERNEST CORRY III DBA SOURCE MAINTENANCE PRODUCTS,20754,ERNEST CORRY III DBA SOURCE MAINTENANCE PRODUCTS,anne-arundel-county
368,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"WHITMAN, REQUARDT & ASSOCIATES",21231,294398.48,NA,NA,WHITMAN REQUARDT & ASSOCIATES,21231,WHITMAN REQUARDT & ASSOCIATES,anne-arundel-county
369,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"COMPLETE BUILDING SYSTEMS, INC.",21114,293476.02,NA,NA,COMPLETE BUILDING SYSTEMS INC,21114,COMPLETE BUILDING SYSTEMS INC,anne-arundel-county
370,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Delta T Group Maryland Inc,19010,291948.37,NA,NA,DELTA T GROUP MARYLAND INC,19010,DELTA-T GROUP MARYLAND INC,anne-arundel-county
371,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MD STATE DEPT OF EDUCATION,21201,285732.47,NA,NA,MD STATE DEPT OF EDUCATION,21201,MARYLAND STATE DEPARTMENT OF EDUCATION,anne-arundel-county
372,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PESSOA CONSTRUCTION CO,20743,283038.7,NA,NA,PESSOA CONSTRUCTION CO,20743,PESSOA CONSTRUCTION CO,anne-arundel-county
373,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Goode Companies, Inc.",20770,281071.75,NA,NA,GOODE COMPANIES INC,20770,GOODE COMPANIES INC,anne-arundel-county
374,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ANNE ARUNDEL COMMUNITY COLLEGE,21012,273964.19,NA,NA,ANNE ARUNDEL COMMUNITY COLLEGE,21012,ANNE ARUNDEL COMMUNITY COLLEGE,anne-arundel-county
375,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BSN Sports Inc,75209,271998.28,NA,NA,BSN SPORTS INC,75209,BSN SPORTS,anne-arundel-county
376,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DEPARTMENT OF JUVENILE JUSTICE,21403,266982.68,NA,NA,DEPARTMENT OF JUVENILE JUSTICE,21403,DEPARTMENT OF JUVENILE JUSTICE,anne-arundel-county
377,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MARYLAND UNEMPLOYMENT INSURANCE FUND,21203-0084,265132.91,NA,NA,MARYLAND UNEMPLOYMENT INSURANCE FUND,21203,MARYLAND UNEMPLOYMENT INSURANCE FUND,anne-arundel-county
378,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,EDUCATORS FINANCIAL GROUP,21044,262082.39,NA,NA,EDUCATORS FINANCIAL GROUP,21044,EDUCATORS FINANCIAL GROUP,anne-arundel-county
379,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DISCOVERY EDUCATION,20910,261280,NA,NA,DISCOVERY EDUCATION,20910,DISCOVERY EDUCATION,anne-arundel-county
380,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SCHMIDT BAKING CO INC,21236,256829.02,NA,NA,SCHMIDT BAKING CO INC,21236,SCHMIDT BAKING COMPANY,anne-arundel-county
381,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,COASTAL SUNBELT PRODUCE CO,20763,254679.95,NA,NA,COASTAL SUNBELT PRODUCE CO,20763,COASTAL SUNBELT PRODUCE,anne-arundel-county
382,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Inquiries Acquisition LLC,21601,250319.5,NA,NA,INQUIRIES ACQUISITION LLC,21601,INQUIRIES ACQUISITION LLC,anne-arundel-county
383,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Excel Professional Staffing LLC,30384-3826,247222.5,NA,NA,EXCEL PROFESSIONAL STAFFING LLC,30384,EXCEL PROFESSIONAL STAFFING LLC,anne-arundel-county
384,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Social Sentinel, Inc.",05401,246000,NA,NA,SOCIAL SENTINEL INC,05401,SOCIAL SENTINEL INC,anne-arundel-county
385,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Building Energy Holding US LLC,20005,244087.87,NA,NA,BUILDING ENERGY HOLDING US LLC,20005,BUILDING ENERGY HOLDING US LLC,anne-arundel-county
386,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GRAINGER,20701-1125,243673.35,NA,NA,GRAINGER,20701,GRAINGER,anne-arundel-county
